,Episodes,Steps
0,1,0.0
1,2,100.0
2,3,100.0
3,4,100.0
4,5,100.0
5,6,46.0
6,7,100.0
7,8,49.0
8,9,100.0
9,10,26.0
10,11,68.0
11,12,100.0
12,13,100.0
13,14,100.0
14,15,94.0
15,16,83.0
16,17,100.0
17,18,100.0
18,19,100.0
19,20,100.0
20,21,100.0
21,22,100.0
22,23,60.0
23,24,100.0
24,25,30.0
25,26,76.0
26,27,100.0
27,28,100.0
28,29,100.0
29,30,100.0
30,31,100.0
31,32,100.0
32,33,98.0
33,34,100.0
34,35,100.0
35,36,25.0
36,37,100.0
37,38,100.0
38,39,100.0
39,40,100.0
40,41,82.0
41,42,38.0
42,43,63.0
43,44,77.0
44,45,100.0
45,46,100.0
46,47,100.0
47,48,74.0
48,49,100.0
49,50,100.0
50,51,89.0
51,52,38.0
52,53,100.0
53,54,69.0
54,55,59.0
55,56,100.0
56,57,100.0
57,58,100.0
58,59,100.0
59,60,100.0
60,61,100.0
61,62,61.0
62,63,38.0
63,64,100.0
64,65,100.0
65,66,58.0
66,67,55.0
67,68,97.0
68,69,100.0
69,70,100.0
70,71,100.0
71,72,100.0
72,73,100.0
73,74,100.0
74,75,46.0
75,76,100.0
76,77,51.0
77,78,100.0
78,79,100.0
79,80,100.0
80,81,87.0
81,82,83.0
82,83,100.0
83,84,100.0
84,85,100.0
85,86,100.0
86,87,30.0
87,88,42.0
88,89,38.0
89,90,100.0
90,91,100.0
91,92,100.0
92,93,100.0
93,94,100.0
94,95,100.0
95,96,100.0
96,97,54.0
97,98,100.0
98,99,69.0
99,100,100.0
100,101,100.0
101,102,100.0
102,103,17.0
103,104,61.0
104,105,100.0
105,106,21.0
106,107,100.0
107,108,100.0
108,109,85.0
109,110,100.0
110,111,100.0
111,112,100.0
112,113,100.0
113,114,43.0
114,115,100.0
115,116,81.0
116,117,100.0
117,118,19.0
118,119,100.0
119,120,56.0
120,121,100.0
121,122,35.0
122,123,61.0
123,124,100.0
124,125,74.0
125,126,40.0
126,127,100.0
127,128,89.0
128,129,45.0
129,130,100.0
130,131,46.0
131,132,100.0
132,133,100.0
133,134,100.0
134,135,100.0
135,136,100.0
136,137,48.0
137,138,100.0
138,139,100.0
139,140,61.0
140,141,68.0
141,142,27.0
142,143,100.0
143,144,100.0
144,145,100.0
145,146,51.0
146,147,100.0
147,148,86.0
148,149,100.0
149,150,68.0
150,151,100.0
151,152,100.0
152,153,100.0
153,154,100.0
154,155,94.0
155,156,26.0
156,157,100.0
157,158,56.0
158,159,100.0
159,160,16.0
160,161,100.0
161,162,16.0
162,163,67.0
163,164,66.0
164,165,39.0
165,166,100.0
166,167,62.0
167,168,100.0
168,169,40.0
169,170,100.0
170,171,100.0
171,172,43.0
172,173,23.0
173,174,36.0
174,175,100.0
175,176,100.0
176,177,90.0
177,178,77.0
178,179,100.0
179,180,100.0
180,181,100.0
181,182,32.0
182,183,14.0
183,184,100.0
184,185,30.0
185,186,100.0
186,187,26.0
187,188,58.0
188,189,71.0
189,190,80.0
190,191,100.0
191,192,100.0
192,193,100.0
193,194,44.0
194,195,44.0
195,196,76.0
196,197,94.0
197,198,100.0
198,199,41.0
199,200,100.0
200,201,100.0
201,202,51.0
202,203,60.0
203,204,100.0
204,205,79.0
205,206,65.0
206,207,21.0
207,208,100.0
208,209,90.0
209,210,76.0
210,211,66.0
211,212,100.0
212,213,100.0
213,214,22.0
214,215,55.0
215,216,100.0
216,217,100.0
217,218,100.0
218,219,53.0
219,220,100.0
220,221,74.0
221,222,100.0
222,223,48.0
223,224,100.0
224,225,15.0
225,226,25.0
226,227,42.0
227,228,100.0
228,229,100.0
229,230,61.0
230,231,100.0
231,232,14.0
232,233,100.0
233,234,100.0
234,235,100.0
